"","ctrl_g1","taz_g1","ctrl_g2","taz_g2","ctrl_g3","taz_g3","ctrl_g4","taz_g4","ctrl_g5","taz_g5","ctrl_g6","taz_g6","ctrl_g7","taz_g7","ctrl_g8","taz_g8"
"PPEF1",0,0,0,0,0.977352433354944,0,0,0,0,0,0,1.00848856685335,0,0,0,0
"PPFIA1",98.8054522381008,105.00749212298,110.259413519994,123.414888578765,94.8031860354296,116.197582399651,106.630871074674,94.7130956466408,103.848829322491,106.458877972055,112.141113741761,98.8318795516286,73.2323482966933,98.6483421788769,125.779644475551,82.4120658651096
"PPFIA2",0.988054522381008,0,1.96891809857132,0.927931493073419,0,0.984725274573314,1.95652974448943,1.9329203193192,0,1.83549789606991,2.97719770995826,0,1.0613383811115,0,1.03098069242255,1.03015082331387
"PPFIA3",0,2.86384069426308,0.984459049285661,0,0,2.95417582371994,1.95652974448943,0.9664601596596,0,5.50649368820974,1.98479847330551,4.03395426741341,3.18401514333449,1.06073486213846,4.12392276969019,0
"PPFIA4",0.988054522381008,8.59152208278925,2.95337714785698,12.9910409030279,0.977352433354944,14.7708791185997,0.978264872244716,17.3962828738728,2.80672511682409,6.42424263624469,1.98479847330551,5.04244283426676,6.36803028666898,10.6073486213846,7.21686484695784,19.5728656429635
"PPFIBP1",95.8412886709577,48.6852918024724,118.135085914279,49.1803691328912,104.576710368979,46.2820879049457,95.8699574799822,49.2894681426396,111.333429634022,48.6406942458527,80.384338168873,55.4668711769344,75.3550250589163,66.8262963147231,63.920802930198,51.5075411656935
"PPFIBP2",5.92832713428605,2.86384069426308,7.87567239428529,2.78379447922026,3.90940973341978,6.89307692201319,11.7391784669366,3.8658406386384,7.48460031153091,4.58874474017478,2.97719770995826,4.03395426741341,4.24535352444599,2.12146972427692,3.09294207726765,2.06030164662774
"PPHLN1",32.6057992385733,45.8214511082093,41.3472800699978,39.901054202157,45.9355643676824,44.3126373557991,43.0436543787675,54.1217689409376,47.7143269860095,43.1342005576429,40.6883687027629,37.3140769735741,45.6375503877944,49.8545385205077,47.4251118514372,37.0854296392993
"PPIA",791.431672427187,985.1611988265,871.24625861781,1055.98603911755,847.364559718737,993.587802044473,902.938477081873,1067.93847642386,962.706715070663,1062.75328182448,905.06810382731,1169.84673754989,1085.74916387706,1192.26598504363,849.52809055618,1143.4674138784
"PPIAP11",0,0,0,0,0.977352433354944,0,0,0,0,0,0.992399236652753,0,3.18401514333449,1.06073486213846,1.03098069242255,1.03015082331387
"PPIAP16",0,0,0,0,0,0,0,0.9664601596596,0,0,0,0,0,0,0,0
"PPIAP18",2.96416356714302,0,0,2.78379447922026,0,0,4.89132436122358,2.8993804789788,1.87115007788273,0.917748948034956,0.992399236652753,2.01697713370671,1.0613383811115,0,2.0619613848451,0
"PPIAP22",6.91638165666705,8.59152208278925,5.90675429571397,3.71172597229367,7.81881946683956,6.89307692201319,5.8695892334683,4.832300798298,9.35575038941364,1.83549789606991,7.93919389322202,7.05941996797347,5.30669190555748,10.6073486213846,3.09294207726765,12.3618098797664
"PPIAP29",1.97610904476202,0.954613564754361,0.984459049285661,1.85586298614684,5.86411460012967,0,2.93479461673415,2.8993804789788,0.935575038941364,0,0.992399236652753,2.01697713370671,1.0613383811115,1.06073486213846,0,2.06030164662774
"PPIAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03098069242255,0
"PPIAP31",0,0,0,1.85586298614684,0,0,0.978264872244716,0.9664601596596,0,1.83549789606991,2.97719770995826,0,5.30669190555748,1.06073486213846,2.0619613848451,0
"PPIAP54",0,0,0,0,0,0,0,0,0,0,1.98479847330551,0,0,0,0,0
"PPIAP61",0,0,0,0,0,0,0,0,0,0,0,0,0,1.06073486213846,0,0
"PPIAP77",0,0,0,0,0.977352433354944,0,0,0,0,1.83549789606991,0,0,0,0,0,0
"PPIB",140.303742178103,165.148146702504,157.513447885706,183.730435628537,163.217856370276,158.540769206303,155.54411468691,180.728049856345,145.014131035911,187.220785399131,135.958695421427,178.502476333043,178.304848026731,207.904032979138,184.545543943636,165.854282553533
"PPIC",17.7849814028581,5.72768138852616,22.6425581335702,10.2072464238076,9.77352433354944,20.6792307660396,11.7391784669366,15.4633625545536,11.2269004672964,12.8484852724894,16.8707870230968,15.1273285028003,25.4721211466759,13.7895532078,11.340787616648,24.7236197595329
"PPID",31.6177447161922,51.5491324967355,36.4249848235695,37.1172597229368,43.0035070676176,37.4195604337859,20.543562317139,39.6248665460436,36.4874265187132,22.9437237008739,24.8099809163188,29.2461684387472,36.0855049577909,25.4576366913231,39.1772663120568,36.0552788159855
"PPIE",31.6177447161922,24.8199526836134,32.4871486264268,34.3334652437165,31.2752778673582,23.6334065897595,31.3044759118309,54.1217689409376,43.0364517913027,34.8744600253283,43.6655664127211,32.2716341393073,29.7174746711219,39.2471898991231,43.301189081747,31.93467552273
"PPIEL",0,0,0.984459049285661,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPIF",157.10066905858,143.192034713154,165.389120279991,154.964559343261,163.217856370276,127.029560419957,154.565849814665,163.331766982472,126.302630257084,123.896107984719,108.17151679515,154.298750728563,147.526034974498,126.227448594477,129.903567245241,166.884433376847
"PPIG",88.9249070142907,102.143651428717,65.9587563021393,90.0093548281216,60.5958508680066,81.732197789585,71.4133356738643,105.344157402896,66.4258277648368,78.0086605829713,59.5439541991652,89.7554824499484,52.0055806744633,80.615849522523,61.8588415453529,88.5929708049929
"PPIH",24.7013630595252,28.6384069426308,29.5337714785698,35.2613967367899,29.3205730006483,37.4195604337859,28.3696812950968,34.7925657477456,40.2297266744786,28.4502173890836,24.8099809163188,32.2716341393073,28.6561362900104,37.1257201748461,25.7745173105637,32.9648263460438
"PPIL1",132.399305999055,111.68978707626,136.839807850707,134.550066495646,145.625512569887,113.243406575931,134.022287497526,156.566545864855,130.04493041285,133.991346413104,130.004300001511,100.848856685335,135.851312782272,119.863039421646,81.4474747013813,117.437193857781
"PPIL2",18.7730359252391,44.8668375434549,22.6425581335702,28.765876285276,16.6149913670341,18.709780216893,17.6087677004049,29.9602649494476,34.6162764408305,21.108225804804,33.7415740461936,21.1782599039204,27.5947979088989,21.2146972427692,30.9294207726765,23.693468936219
"PPIL3",24.7013630595252,21.0014984245959,15.7513447885706,17.630698368395,25.4111632672286,16.7403296677463,19.5652974448943,13.5304422352344,15.9047756620032,19.2727279087341,13.8935893131385,13.1103513690936,11.6747221922265,19.0932275184923,17.5266717711833,28.8442230527884
"PPIL4",44.4624535071453,32.4568612016483,39.3783619714265,33.4055337506431,31.2752778673582,31.511208786346,34.2392705285651,38.658406386384,53.3277772196577,33.0389621292584,36.7187717561518,30.2546570056006,28.6561362900104,28.6398412777385,35.0533435423666,25.7537705828468
"PPIL6",0.988054522381008,0,0,1.85586298614684,0,0,0.978264872244716,0.9664601596596,0,0,0,0,0,0,0,1.03015082331387
"PPIP5K1",0.988054522381008,6.68229495328052,3.93783619714264,12.9910409030279,8.7961719001945,11.8167032948798,2.93479461673415,10.6310617562556,7.48460031153091,7.34199158427965,2.97719770995826,7.05941996797347,0,14.8502880699385,11.340787616648,6.18090493988322
"PPIP5K1P1",0,0,0,0,0,0.984725274573314,0,0.9664601596596,0,0.917748948034956,0,0,0,0,0,0
"PPIP5K1P1-CATSPER2",0,0,0,0,0,0.984725274573314,0,0,0,0,0,0,0,0,0,0
"PPIP5K2",64.2235439547655,52.5037460614898,43.3161981685691,73.3065879528001,42.0261546342626,76.8085714167185,68.4785410571301,59.9205298988952,68.2969778427195,78.9264095310062,59.5439541991652,63.5347797117612,55.1895958177978,50.9152733826461,53.6109960059725,50.4773903423796
"PPL",4.94027261190504,6.68229495328052,2.95337714785698,3.71172597229367,1.95470486670989,6.89307692201319,3.91305948897886,3.8658406386384,2.80672511682409,3.67099579213982,0.992399236652753,2.01697713370671,3.18401514333449,8.48587889710769,1.03098069242255,1.03015082331387
"PPM1A",85.9607434471477,71.5960173565771,77.7722648935672,63.0993415289925,58.6411460012967,70.9002197692786,63.5872166959065,79.2497330920872,79.5238783100159,84.432903219216,66.4907488557344,78.6621082145615,83.8457321078083,60.4618871418923,67.0137450074657,73.1407084552848
"PPM1AP1",0,0,0,0,0.977352433354944,0,0,0,0,0,0,0,0,0,0,0
"PPM1B",53.3549442085744,46.7760646729637,48.2384934149974,46.3965746536709,57.6637935679417,46.2820879049457,46.9567138677464,42.5242470250224,52.3922021807164,67.9134221545868,34.7339732828463,35.2970998398674,58.3736109611323,57.2796825554769,41.2392276969019,44.2964854024964
"PPM1D",13.8327633133341,22.9107255541047,9.84459049285661,14.8469038891747,12.7055816336143,13.7861538440264,15.6522379559155,10.6310617562556,21.5182258956514,11.0129873764195,15.878387786444,19.1612827702137,23.3494443844529,18.0324926563538,10.3098069242255,17.5125639963358
"PPM1E",7.90443617904806,1.90922712950872,7.87567239428529,0,6.84146703348461,1.96945054914663,3.91305948897886,1.9329203193192,5.61345023364818,4.58874474017478,7.93919389322202,1.00848856685335,7.42936866778048,1.06073486213846,0,2.06030164662774
"PPM1F",48.4146715966694,63.9591088385422,51.1918705628544,77.0183139250938,69.3920227682011,65.976593396412,56.7393625901935,68.6186713358316,56.1345023364818,63.324677414412,59.5439541991652,77.6536196477082,77.4777018211393,72.1299706254154,105.1600306271,98.8944790381316
